# Canonical StreetZim region registry — one row per shipped (or built) ZIM.
# Columns (tab-separated):
#   id	name	bbox(minlon,minlat,maxlon,maxlat)	tier	smoke_src(lat,lon)	smoke_dst(lat,lon)	smoke_search	notes
# bbox = the bbox the most recent shipped build actually used (from the
# build wrapper's "bbox:" stdout line, the queue spec, or the build script).
# Rows marked RECONSTRUCTED had no surviving local record; confirm before use.
# Smoke pairs are same-landmass city pairs well inside the bbox (100-500 km),
# used by cloud/route_cli.py and cloud/pwa_smoke_test.mjs (SMOKE_ROUTE).
# tier ∈ continent | multi-country | country | us-region | local (matches web/generate.py).
#
# --- local (small, fast; run first) ---
japan	Japan	122.9,24.0,146.0,45.6	country	35.6762,139.6503	35.4437,139.6380	Tokyo	
iran	Iran	44.0,25.0,63.5,39.8	country	35.6892,51.3890	35.8400,50.9391	Tehran	
ukraine	Ukraine, Moldova & Western Russia	22.0,43.0,46.0,53.0	country	50.4501,30.5234	49.7950,30.1310	Kyiv	
argentina	Argentina	-73.5,-55.5,-53.5,-21.5	country	-34.60382,-58.38153	-34.92231,-57.95515	Buenos Aires	
mexico	Mexico	-118.5,14.5,-86.0,33.0	country	19.4326,-99.1332	20.6597,-103.3496	Cancun	not yet listed in web/generate.py REGIONS; ~5h build
brazil	Brazil	-74.0,-34.0,-32.0,5.5	country	-23.5505,-46.6333	-22.9099,-47.0626	Rio de Janeiro	~12h build
# --- multi-country ---
baltics	Baltics	20.9,53.9,28.3,59.7	multi-country	56.9496,24.1052	56.9680,23.7704	Riga	
caucasus	Caucasus	39.0,38.0,52.0,44.0	multi-country	41.7151,44.8271	40.1792,44.4991	Tbilisi	
himalayas	Himalayas	72.0,26.0,98.0,37.5	multi-country	27.7172,85.3240	28.2096,83.9856	Kathmandu	bbox reconstructed 2026-09-04 (no local record of the April cloud-VM build); confirmed by user 2026-09-05
central-america-caribbean	Central America & Caribbean	-93.0,7.0,-59.0,27.5	multi-country	14.6349,-90.5069	13.6929,-89.2182	Panama	bbox reconstructed 2026-09-04 (no local record of the April cloud-VM build); confirmed by user 2026-09-05
pacific-islands	Pacific Islands	130.0,-25.0,180.0,5.0	multi-country	-18.1416,178.4419	-17.7765,177.4356	Suva	smoke pair on Viti Levu; old queue pair spanned the ocean and forced a manual upload; not in generate.py REGIONS
west-africa	West Africa	-18.0,3.0,15.0,17.0	multi-country	6.5244,3.3792	7.3775,3.9470	Lagos	not in generate.py REGIONS
southern-africa	Southern Africa	11.0,-35.0,42.0,-15.0	multi-country	-26.2041,28.0473	-25.7479,28.2293	Johannesburg	not in generate.py REGIONS
east-africa	East Africa	28.0,-12.0,52.0,18.0	multi-country	-1.2921,36.8219	-0.3031,36.0800	Nairobi	built 2026-05-12 (4.6 GB) but NEVER uploaded to archive.org
korea-mongolia	Korea & Mongolia	87.5,33.0,131.5,53.0	multi-country	37.5665,126.9780	35.1796,129.0756	Seoul	
west-asia	West Asia	25.0,12.0,62.5,42.0	multi-country	25.2048,55.2708	24.4539,54.3773	Dubai	
central-asia	Central Asia	40.0,25.0,120.0,56.0	multi-country	43.2220,76.8512	42.8746,74.5698	Tashkent	
# --- us-region ---
central-us	Central US	-120.0,31.3,-104.0,49.0	us-region	39.7392,-104.9903	40.0150,-105.2705	Denver	
west-coast-us	West Coast US	-125.0,32.0,-116.5,49.5	us-region	47.6062,-122.3321	45.5152,-122.6784	Seattle	
midwest-us	Midwest US	-104.1,36.0,-80.5,49.4	us-region	41.8781,-87.6298	43.0389,-87.9065	Chicago	
east-coast-us	East Coast US	-82.0,24.0,-66.5,47.6	us-region	40.7128,-74.0060	39.9526,-75.1652	Boston	
# --- continent (largest last) ---
southeast-asia	Southeast Asia	92.0,-11.0,141.5,28.5	continent	13.7563,100.5018	12.9236,100.8825	Bangkok	
australia-nz	Australia & New Zealand	110.0,-50.0,180.0,-8.0	continent	-33.8688,151.2093	-35.2809,149.1300	Sydney	
canada	Canada	-141.0,41.5,-52.0,83.5	continent	43.6532,-79.3832	45.4215,-75.6972	Toronto	
indian-subcontinent	Indian Subcontinent	60.0,5.0,98.0,38.0	continent	28.6139,77.2090	27.1767,78.0081	Mumbai	~4h build
china	China	73.0,18.0,135.0,53.5	continent	39.90432,116.40533	31.23044,121.47389	Beijing	~6h build
africa	Africa	-18.0,-35.0,52.0,38.0	continent	-1.2921,36.8219	-4.0435,39.6682	Cairo	
south-america	South America	-82.0,-56.0,-32.0,13.5	continent	-34.6037,-58.3816	-32.9442,-60.6505	Lima	~15h build
russia	Russia	27.0,41.0,180.0,82.0	continent	55.7558,37.6173	59.9311,30.3609	Moscow	~26h build; post-pack swap stall seen 2026-05-10
united-states	United States	-125.0,24.5,-66.9,49.4	continent	37.7749,-122.4194	38.5816,-121.4944	Chicago	previous round used build-us-salvage.sh (pinned search-with-overture jsonl) — stale for a data refresh
europe	Europe	-25.0,34.0,50.5,72.0	continent	48.8566,2.3522	52.5200,13.4050	Paris	previous round used build-europe-salvage.sh — stale for a data refresh; needs MBTiles page-cache warm trick
france	France	-5.2,41.3,9.6,51.1	country	48.8566,2.3522	45.7640,4.8357	Paris	2026-09-21: incl Corsica. Paris->Lyon (~390 km) A6. Largest single-country European build (~13 GB est).
germany	Germany	5.8,47.2,15.1,55.1	country	52.5200,13.4050	50.1109,8.6821	Berlin	2026-09-21: Berlin->Frankfurt (~425 km) A9/A4.
britain-ireland	Britain & Ireland	-10.7,49.8,1.8,60.9	multi-country	51.5074,-0.1278	53.4808,-2.2426	London	2026-09-21: GB+NI+IE bundled -- Ireland's bbox (-10.7,51.4,-5.9,55.4) sits INSIDE Great Britain's, so separate builds would ship the same tiles twice. London->Manchester (~260 km) M1/M6.
italy	Italy	6.6,35.4,18.6,47.1	country	45.4642,9.1900	44.4949,11.3426	Rome	2026-09-21: incl Sicily+Sardinia. Milan->Bologna (~200 km) A1.
iberia	Iberia	-9.6,35.9,4.4,43.8	multi-country	40.4168,-3.7038	41.6488,-0.8891	Madrid	2026-09-21: ES+PT+AD bundled -- Portugal's bbox (-9.6,36.9,-6.1,42.2) sits INSIDE Spain's, so separate builds duplicate tiles. Madrid->Zaragoza (~315 km) A2.
poland	Poland	14.1,49.0,24.2,55.0	country	52.2297,21.0122	51.1079,17.0385	Warsaw	2026-09-21: Warsaw->Wroclaw (~345 km) A2/S8. Note western-europe's 21.0 cutoff clips eastern Poland; this row covers it whole.
benelux	Benelux	2.5,49.4,7.2,53.6	multi-country	52.3676,4.9041	50.8503,4.3517	Amsterdam	2026-09-21: NL+BE+LU. Three small dense countries whose bboxes abut; separate builds would each be ~0.5 GB with heavy overlap.
nordics	Nordics	4.5,54.5,31.6,71.2	multi-country	59.9139,10.7522	59.3293,18.0686	Oslo	2026-09-21: NO+SE+FI+DK. Huge bbox, sparse data (~0.025 GB/deg2 measured on iceland/caucasus), so one build is right. Oslo->Stockholm (~415 km) E18.
austria-czech	Austria, Czechia & Slovakia	9.5,46.3,19.0,51.1	multi-country	48.2082,16.3738	50.0755,14.4378	Vienna	2026-09-21: AT+CZ+SK. Overlaps switzerland's alpine bbox on the west edge by design. Vienna->Prague (~330 km) D1.
balkans	Balkans	13.3,39.6,23.0,47.0	multi-country	44.7866,20.4489	45.8150,15.9819	Belgrade	2026-09-21: SI HR BA RS ME AL MK XK. Belgrade->Zagreb (~395 km) A3.
greece	Greece	19.3,34.8,28.3,41.8	country	37.9838,23.7275	40.6401,22.9444	Athens	2026-09-21: incl Crete + Aegean islands. Athens->Thessaloniki (~500 km) A1.
carpathians	Romania, Hungary & Bulgaria	16.1,43.0,29.7,48.6	multi-country	47.4979,19.0402	44.4268,26.1025	Budapest	2026-09-21: RO+HU+BG adjacent and individually small. Budapest->Bucharest (~830 km); if the route gate struggles at that length use Budapest->Szeged.
switzerland	Switzerland and the Alps	5.4,45.7,11.2,48.2	country	47.3769,8.5417	46.2044,6.1432	Zurich	derived from europe extracts 2026-09-18; south edge 45.7 excludes Milan/Bergamo/Brescia. Smoke dst moved Bern->Geneva 2026-09-18: the Bern pin (46.9480,7.4474) snapped to a one-way-stranded node - routable outbound, unreachable inbound, so astar and hwy2 both failed. Zurich->Geneva routes in 14s over 277.7 km.
switzerland-nosat	Switzerland and the Alps (light)	5.4,45.7,11.2,48.2	country	47.3769,8.5417	46.2044,6.1432	Zurich	derived from europe extracts 2026-09-18; south edge 45.7 excludes Milan/Bergamo/Brescia. Smoke dst moved Bern->Geneva 2026-09-18: the Bern pin (46.9480,7.4474) snapped to a one-way-stranded node - routable outbound, unreachable inbound, so astar and hwy2 both failed. Zurich->Geneva routes in 14s over 277.7 km.
switzerland-nosat-z13	Switzerland and the Alps (light)	5.4,45.7,11.2,48.2	country	47.3769,8.5417	46.2044,6.1432	Zurich	derived from europe extracts 2026-09-18; south edge 45.7 excludes Milan/Bergamo/Brescia. Smoke dst moved Bern->Geneva 2026-09-18: the Bern pin (46.9480,7.4474) snapped to a one-way-stranded node - routable outbound, unreachable inbound, so astar and hwy2 both failed. Zurich->Geneva routes in 14s over 277.7 km.
switzerland-light	Switzerland & the Alps (Light)	5.4,45.7,11.2,48.2	country	47.3769,8.5417	46.2044,6.1432	Zurich	Light build 2026-09-18: no satellite imagery, vector tiles capped at z13 (--max-zoom 13). 1.40 GB vs 2.10 GB full. Same bbox/extracts as switzerland; south edge 45.7 excludes Milan/Bergamo/Brescia. Smoke dst Geneva, not Bern (the Bern pin snaps to a one-way-stranded node).
north-africa	North Africa (Maghreb)	-17.0,19.0,26.0,37.5	multi-country	33.5731,-7.5898	34.0209,-6.8416	Casablanca	2026-09-19: fills the biggest African gap - only egypt covered the north. Casablanca->Rabat (~87 km) is coastal motorway A3, well connected.
central-africa	Central Africa	8.0,-13.0,31.0,15.0	multi-country	-4.4419,15.2663	-4.2634,15.2429	Kinshasa	2026-09-19: falls between the west-africa and southern-africa boxes, previously uncovered. Kinshasa->Brazzaville are 5 km apart across the Congo with no road bridge; route gate uses intra-Kinshasa instead.
horn-of-africa	Horn of Africa	32.0,-2.0,52.0,20.0	multi-country	9.0320,38.7469	8.5400,39.2700	Addis Ababa	2026-09-19: overlaps east-africa's box but ships a smaller, sharper download. Addis Ababa->Adama (~90 km) is the A1 expressway.
east-polynesia	East Polynesia	-160.0,-25.0,-130.0,-5.0	multi-country	-17.5334,-149.5667	-17.7333,-149.3000	Papeete	2026-09-19: pacific-islands stops at 180 deg so Samoa/Tonga/Cook Is./French Polynesia were uncovered. Route is intra-Tahiti; islands are not road-connected to each other.
africa-light	Africa (Light)	-18.0,-35.0,52.0,38.0	continent	-1.2921,36.8219	-4.0435,39.6682	Cairo	2026-09-19: same bbox/extracts as africa, built --no-satellite --max-zoom 13. Separate id => separate item streetzim-africa-light, so streetzim-africa is never overwritten. switzerland-light measured 1.50 vs 2.20 GB (-32%) on this recipe.
